,City,Country,Lng,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
452,tabou,CI,-7.35,4.42,298.05,88,63,4.82
453,fare,PF,-151.02,-16.7,298.89,77,76,6.13
454,naryan-mar,RU,53.09,67.67,285.07,92,100,3.0
455,cheyenne,US,-104.82,41.14,303.15,4,1,8.7
456,rawah,IQ,41.91,34.48,303.76,14,0,0.96
457,san-pedro,CI,-6.64,4.75,297.82,90,95,4.0
458,faanui,PF,-151.75,-16.48,298.28,81,18,7.26
459,kumluca,TR,30.29,36.37,301.57,58,0,1.37
460,oranjestad,AW,-70.03,12.52,305.15,66,20,6.2
461,burnie,AU,145.92,-41.07,285.37,77,100,1.34
462,cayenne,GF,-52.33,4.93,304.15,70,27,5.1
463,sao felix do xingu,BR,-51.99,-6.64,311.69,14,0,1.94
464,ouahigouya,BF,-2.42,13.58,303.24,49,39,4.08
465,port hedland,AU,118.57,-20.32,294.15,94,0,2.6
466,coahuayana,MX,-103.68,18.73,299.15,78,75,2.87
467,arlit,NE,7.39,18.74,305.55,35,99,6.45
468,san francisco menendez,SV,-90.02,13.84,302.17,72,44,2.35
469,champerico,GT,-91.92,14.3,305.15,59,40,4.1
470,itoman,JP,127.67,26.12,299.15,88,75,2.1
471,tura,IN,90.22,25.52,296.47,96,100,1.51
472,san vicente,AR,-54.13,-26.62,291.37,86,100,1.46
473,kidal,ML,1.41,18.44,305.54,35,28,5.64
474,lavrentiya,RU,-171.0,65.58,279.52,71,100,8.89
475,sungaipenuh,ID,101.38,-2.08,291.27,90,33,1.54
476,shizunai,JP,142.37,42.33,295.31,87,17,1.32
477,ipilan,PH,117.9,8.84,300.13,77,66,1.81
478,seoul,KR,126.98,37.57,295.15,68,75,2.1
479,salinas,US,-121.66,36.68,310.93,43,1,4.6
480,belvidere,US,-88.84,42.26,297.15,36,75,3.1
481,minas,UY,-55.24,-34.38,288.15,58,75,6.7
482,borogontsy,RU,131.17,62.67,276.58,86,0,1.19
483,boca do acre,BR,-67.4,-8.75,313.61,16,100,1.57
484,wagar,SD,36.2,16.15,307.61,31,87,4.94
485,ambulu,ID,113.61,-8.35,296.52,89,23,2.32
486,balkhash,KZ,74.98,46.84,286.77,48,0,2.34
487,xichang,CN,102.26,27.9,290.49,70,98,0.84
488,faya,SA,42.45,18.39,297.15,18,22,2.6
489,richards bay,ZA,32.04,-28.78,292.44,80,0,1.17
490,lima,PE,-77.03,-12.04,291.15,72,75,2.6
491,buala,SB,159.59,-8.14,300.01,77,0,1.78
492,atikokan,CA,-91.62,48.76,284.26,45,97,5.21
493,sisauli,IN,77.47,29.42,300.45,70,0,1.05
494,pierre,US,-100.35,44.37,282.04,87,90,7.2
495,waitara,NZ,174.25,-38.92,280.37,72,0,2.68
496,namibe,AO,12.15,-15.2,292.85,89,37,2.84
497,saginaw,US,-84.03,43.33,297.59,53,40,3.1
498,longyan,CN,117.02,25.11,296.34,88,100,1.17
499,payao,PH,122.95,10.18,298.8,81,71,1.14
500,mareeba,AU,145.43,-17.0,292.59,87,69,1.34
501,san marco in lamis,IT,15.64,41.71,298.15,69,20,1.5
502,corpus christi,US,-97.4,27.8,304.26,66,90,4.6
503,halifax,CA,-63.57,44.65,294.82,68,0,2.24
504,svetlaya,RU,138.33,46.54,291.34,75,100,4.98
505,asau,RO,26.4,46.43,290.93,85,0,1.96
506,olga,RU,135.29,43.74,293.71,94,100,2.03
507,san ignacio,BZ,-89.07,17.16,305.15,62,40,2.1
508,waycross,US,-82.35,31.21,304.15,83,90,6.2
509,lichinga,MZ,35.24,-13.31,289.15,63,0,5.7
510,pamplona,ES,-1.64,42.82,288.15,67,20,7.7
511,guerrero negro,MX,-114.06,27.98,305.52,45,0,4.85
512,mahon,ES,4.27,39.89,293.15,64,20,3.6
513,derbent,RU,48.29,42.07,296.44,76,100,4.68
514,hyeres,FR,6.12,43.12,295.15,64,100,2.6
515,tocache,PE,-76.51,-8.18,306.26,37,40,1.68
516,bilma,NE,12.92,18.69,309.95,16,52,3.43
517,slave lake,CA,-114.77,55.28,283.15,71,90,6.7
518,antofagasta,CL,-70.4,-23.65,288.15,67,20,6.7
519,glasgow,GB,-4.26,55.87,288.71,93,90,6.2
520,rognan,NO,15.39,67.1,285.93,87,75,2.6
521,colares,PT,-9.45,38.8,299.26,39,55,3.1
522,oktyabrskiy,RU,53.47,54.48,285.51,66,9,1.31
523,kerema,PG,145.78,-7.96,298.4,90,59,0.89
524,kuusamo,FI,29.18,65.97,283.15,93,75,3.6
525,chapais,CA,-74.85,49.78,289.15,82,75,7.7
526,biak,ID,122.88,-0.91,297.47,85,99,2.63
527,ivanjica,RS,20.23,43.58,295.15,73,50,1.0
528,zaraza,VE,-65.32,9.35,301.28,88,81,1.83
529,boa vista,BR,-60.67,2.82,302.15,62,75,11.3
530,hammerfest,NO,23.68,70.66,283.15,87,75,5.1
531,deputatskiy,RU,139.9,69.3,276.65,95,98,1.36
532,bar harbor,US,-68.2,44.39,295.15,60,1,7.2
533,mairena del aljarafe,ES,-6.06,37.34,302.15,42,0,4.6
534,atambua,ID,124.89,-9.11,292.63,85,100,2.59
535,kutum,SD,24.67,14.2,299.11,59,0,5.25
536,geraldton,AU,114.6,-28.77,280.15,93,75,3.6
537,vagur,FO,-6.81,61.47,284.33,85,96,13.4
538,miranpur,IN,77.93,29.3,300.32,69,0,1.01
539,damavand,IR,52.06,35.72,302.15,17,40,3.1
540,cocobeach,GA,9.58,1.0,299.15,83,40,3.1
541,kropotkin,RU,40.58,45.44,294.89,43,1,1.86
542,erzincan,TR,39.5,39.75,296.15,35,0,4.6
543,poronaysk,RU,143.12,49.22,288.28,84,100,1.28
544,cidreira,BR,-50.21,-30.18,287.5,92,100,7.75
545,lerwick,GB,-1.15,60.15,286.15,82,3,10.8
546,sarakhs,IR,61.16,36.54,292.15,25,0,1.0
